ACC=0.623066, f1_macro=0.628249, precision_macro=0.625352, recall_macro=0.644311, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212882, ADJ_RAND_SCORE=0.209678
ACC=0.623066, f1_macro=0.628266, precision_macro=0.625374, recall_macro=0.644389, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212925, ADJ_RAND_SCORE=0.209694
ACC=0.623168, f1_macro=0.628367, precision_macro=0.625489, recall_macro=0.644552, f1_micro=0.623168, precision_micro=0.623168, recall_micro=0.623168, NMI=0.213080, ADJ_RAND_SCORE=0.209829
ACC=0.623066, f1_macro=0.628230, precision_macro=0.625367, recall_macro=0.644583, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212970, ADJ_RAND_SCORE=0.209717
ACC=0.622914, f1_macro=0.628109, precision_macro=0.625267, recall_macro=0.644302, f1_micro=0.622914, precision_micro=0.622914, recall_micro=0.622914, NMI=0.212937, ADJ_RAND_SCORE=0.209642
ACC=0.623066, f1_macro=0.628241, precision_macro=0.625371, recall_macro=0.644583, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212963, ADJ_RAND_SCORE=0.209709
ACC=0.623066, f1_macro=0.628241, precision_macro=0.625371, recall_macro=0.644583, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212963, ADJ_RAND_SCORE=0.209709
ACC=0.623066, f1_macro=0.628241, precision_macro=0.625371, recall_macro=0.644583, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.212963, ADJ_RAND_SCORE=0.209709
ACC=0.623016, f1_macro=0.628201, precision_macro=0.625310, recall_macro=0.644269, f1_micro=0.623016, precision_micro=0.623016, recall_micro=0.623016, NMI=0.212857, ADJ_RAND_SCORE=0.209639
ACC=0.623016, f1_macro=0.628194, precision_macro=0.625329, recall_macro=0.644541, f1_micro=0.623016, precision_micro=0.623016, recall_micro=0.623016, NMI=0.212938, ADJ_RAND_SCORE=0.209670
ACC=0.644774, f1_macro=0.649752, precision_macro=0.651230, recall_macro=0.668061, f1_micro=0.644774, precision_micro=0.644774, recall_micro=0.644774, NMI=0.246971, ADJ_RAND_SCORE=0.242740
ACC=0.643962, f1_macro=0.649189, precision_macro=0.650250, recall_macro=0.667366, f1_micro=0.643962, precision_micro=0.643962, recall_micro=0.643962, NMI=0.245733, ADJ_RAND_SCORE=0.241360
ACC=0.649237, f1_macro=0.653004, precision_macro=0.656866, recall_macro=0.671724, f1_micro=0.649237, precision_micro=0.649237, recall_micro=0.649237, NMI=0.254055, ADJ_RAND_SCORE=0.250410
ACC=0.642339, f1_macro=0.647829, precision_macro=0.648012, recall_macro=0.666281, f1_micro=0.642339, precision_micro=0.642339, recall_micro=0.642339, NMI=0.243538, ADJ_RAND_SCORE=0.238613
ACC=0.642339, f1_macro=0.647829, precision_macro=0.648012, recall_macro=0.666281, f1_micro=0.642339, precision_micro=0.642339, recall_micro=0.642339, NMI=0.243538, ADJ_RAND_SCORE=0.238613
ACC=0.643100, f1_macro=0.648715, precision_macro=0.649000, recall_macro=0.666812, f1_micro=0.643100, precision_micro=0.643100, recall_micro=0.643100, NMI=0.244453, ADJ_RAND_SCORE=0.239679
ACC=0.643100, f1_macro=0.648715, precision_macro=0.649000, recall_macro=0.666812, f1_micro=0.643100, precision_micro=0.643100, recall_micro=0.643100, NMI=0.244453, ADJ_RAND_SCORE=0.239679
ACC=0.644165, f1_macro=0.649622, precision_macro=0.649242, recall_macro=0.667678, f1_micro=0.644165, precision_micro=0.644165, recall_micro=0.644165, NMI=0.243887, ADJ_RAND_SCORE=0.239655
ACC=0.644875, f1_macro=0.650520, precision_macro=0.650181, recall_macro=0.668243, f1_micro=0.644875, precision_micro=0.644875, recall_micro=0.644875, NMI=0.244716, ADJ_RAND_SCORE=0.240594
ACC=0.643962, f1_macro=0.649378, precision_macro=0.649970, recall_macro=0.667547, f1_micro=0.643962, precision_micro=0.643962, recall_micro=0.643962, NMI=0.245568, ADJ_RAND_SCORE=0.240984
ACC=0.665923, f1_macro=0.662877, precision_macro=0.683371, recall_macro=0.686366, f1_micro=0.665923, precision_micro=0.665923, recall_micro=0.665923, NMI=0.296214, ADJ_RAND_SCORE=0.283996
ACC=0.665923, f1_macro=0.662877, precision_macro=0.683371, recall_macro=0.686366, f1_micro=0.665923, precision_micro=0.665923, recall_micro=0.665923, NMI=0.296214, ADJ_RAND_SCORE=0.283996
ACC=0.665872, f1_macro=0.662826, precision_macro=0.683335, recall_macro=0.686324, f1_micro=0.665872, precision_micro=0.665872, recall_micro=0.665872, NMI=0.296181, ADJ_RAND_SCORE=0.283948
ACC=0.665923, f1_macro=0.662877, precision_macro=0.683371, recall_macro=0.686366, f1_micro=0.665923, precision_micro=0.665923, recall_micro=0.665923, NMI=0.296214, ADJ_RAND_SCORE=0.283996
ACC=0.665872, f1_macro=0.662826, precision_macro=0.683335, recall_macro=0.686324, f1_micro=0.665872, precision_micro=0.665872, recall_micro=0.665872, NMI=0.296181, ADJ_RAND_SCORE=0.283948
ACC=0.665923, f1_macro=0.662877, precision_macro=0.683371, recall_macro=0.686366, f1_micro=0.665923, precision_micro=0.665923, recall_micro=0.665923, NMI=0.296214, ADJ_RAND_SCORE=0.283996
ACC=0.665923, f1_macro=0.662877, precision_macro=0.683371, recall_macro=0.686366, f1_micro=0.665923, precision_micro=0.665923, recall_micro=0.665923, NMI=0.296214, ADJ_RAND_SCORE=0.283996
